2010.00137   0.00   0.00   0.00   1.57   1.59   7.97  KMIN
2010.00411   0.05  -1.80   9.29   1.55   1.54   7.36  KMIN
2010.00685  -0.80  -1.28   9.58   1.56   1.56   7.44  KMIN
2010.00959  -1.08   0.96   4.75   1.57   1.62   7.06  KMIN
2010.01233   0.97  -1.25  -5.33   1.61   1.65   7.73  KMIN
2010.01507  -0.21  -0.72   4.57   1.60   1.68   7.30  KMIN
2010.01781  -1.50  -0.21  -0.07   1.60   1.66   7.25  KMIN
2010.02055  -0.68   0.52   5.67   1.57   1.63   7.15  KMIN
2010.02329   0.37   0.34  11.28   1.58   1.60   7.05  KMIN
2010.02603  -0.47  -1.97   2.76   1.62   1.68   7.29  KMIN
2010.02877   0.13   2.49   0.22   1.63   1.68   7.35  KMIN
2010.03151  -0.38   0.58   8.46   1.56   1.61   7.37  KMIN
2010.03699   0.27   2.53  -0.92   1.63   1.67   7.99  KMIN
2010.03973  -0.80  -0.58  -3.55   1.64   1.69   7.85  KMIN
2010.04247   0.70   1.56   0.57   1.63   1.71   7.82  KMIN
2010.04520  -2.37  -0.64   0.92   1.60   1.62   7.78  KMIN
2010.04794  -0.99   1.39  -3.41   1.52   1.57   7.26  KMIN
2010.05068   0.06  -1.32   3.25   1.59   1.68   7.83  KMIN
2010.05342   0.44  -1.30  -0.66   1.58   1.64   7.53  KMIN
2010.05616   3.49  -3.90   2.30   1.59   1.64   7.71  KMIN
2010.05890   1.53  -2.07   5.14   1.63   1.71   8.13  KMIN
2010.06164  -0.20  -1.95   5.44   1.61   1.69   7.73  KMIN
2010.06438   1.07  -2.14   2.89   1.58   1.65   7.25  KMIN
2010.06712   0.33  -2.42   2.39   1.58   1.68   7.68  KMIN
2010.06986   1.72  -3.02   8.42   1.62   1.73   7.79  KMIN
2010.07260  -1.46   1.94   8.42   1.60   1.74   7.37  KMIN
2010.07534   0.36  -2.47   8.03   1.67   1.88   7.97  KMIN
2010.07808  -2.48   2.78  -2.40   1.56   1.62   7.46  KMIN
2010.08082   1.57   0.89  -0.98   1.56   1.62   7.31  KMIN
2010.08356  -0.50   1.81  -3.41   1.60   1.68   7.34  KMIN
2010.08630   0.55   1.12   4.06   1.56   1.61   7.37  KMIN
2010.08904   2.60   0.02   1.34   1.53   1.57   7.36  KMIN
2010.09178   0.86  -0.06   4.13   1.55   1.63   7.38  KMIN
2010.09452   0.47  -0.94  16.89   1.61   1.68   7.60  KMIN
2010.09726   1.07  -2.55   4.93   1.66   1.74   7.77  KMIN
2010.10000  -0.33   0.60  13.05   1.60   1.81   7.43  KMIN
2010.10274   1.94  -0.09  15.99   1.58   1.66   7.52  KMIN
