S1_20200120_ALL_F1 2020019.5098301198 2209 0.000000000000 0.000000000000
S1_20150603_ALL_F1 2015153.5094123264 518 18.622428639336 -33.782401065145
S1_20150627_ALL_F1 2015177.5094310471 542 -57.781087044533 -142.923111498175
S1_20150721_ALL_F1 2015201.5094348653 566 -3.525186157422 -84.940815824445
S1_20150907_ALL_F1 2015249.5094943352 614 -35.447715870693 -110.881413500522
S1_20160105_ALL_F1 2016004.5094791520 734 13.746440040327 5.398623326532
S1_20160129_ALL_F1 2016028.5094687601 758 55.920320588144 58.265986045904
S1_20160504_ALL_F1 2016124.5094912006 854 61.107235255037 6.699040782983
S1_20160528_ALL_F1 2016148.5095396598 878 18.104853288547 -51.580097877589
S1_20160901_ALL_F1 2016244.5095977716 974 142.426661761490 111.295381870462
S1_20160925_ALL_F1 2016268.5096101009 998 0.099121278082 -94.321183501255
S1_20170123_ALL_F1 2017022.5095706906 1117 6.289912773888 1.320776967873
S1_20170511_ALL_F1 2017130.5096259164 1225 29.241080228146 -65.755801091736
S1_20170523_ALL_F1 2017142.5096314047 1237 58.181086150315 4.250008538043
S1_20170908_ALL_F1 2017250.5096997214 1345 81.177970284792 22.580371104462
S1_20170920_ALL_F1 2017262.5097053028 1357 42.998087931067 -7.442083413381
S1_20180106_ALL_F1 2018005.5096848037 1465 2.416110798227 -3.672282159586
S1_20180118_ALL_F1 2018017.5096806029 1477 16.772200370411 13.154782091224
S1_20180130_ALL_F1 2018029.5096762190 1489 45.365490169750 48.772210982334
S1_20180506_ALL_F1 2018125.5096948214 1585 39.037761818030 -22.019387047505
S1_20180518_ALL_F1 2018137.5097023663 1597 35.998844518564 -28.197907134589
S1_20180530_ALL_F1 2018149.5097091107 1609 84.601777103567 20.194952400344
S1_20180903_ALL_F1 2018245.5097767878 1705 -33.922439689244 -133.989794354225
S1_20180915_ALL_F1 2018257.5097804859 1717 22.696656768637 -61.527972238304
S1_20180927_ALL_F1 2018269.5097838715 1729 59.408215168038 -9.407811818202
S1_20190101_ALL_F1 2019000.5097652178 1825 7.517268404175 8.100252708487
S1_20190113_ALL_F1 2019012.5097595148 1837 -17.146299489832 -42.009840786895
S1_20190125_ALL_F1 2019024.5097558759 1849 -27.559412855621 -57.544662697258
S1_20190501_ALL_F1 2019120.5097660935 1945 -11.088492875741 -104.514126392145
S1_20190513_ALL_F1 2019132.5097704714 1957 17.761199681165 -46.282498663801
S1_20190910_ALL_F1 2019252.5098496745 2077 26.955275457229 -45.444349027645
S1_20190922_ALL_F1 2019264.5098557414 2089 -15.636153927225 -120.281486426855
S1_20200108_ALL_F1 2020007.5098354141 2197 25.933986881352 38.751555558083
S1_20200507_ALL_F1 2020127.5098403411 2317 86.211165893321 15.176293833652
S1_20200519_ALL_F1 2020139.5098498284 2329 49.924041112324 -7.497145485279
S1_20200531_ALL_F1 2020151.5098586997 2341 39.360783655876 -29.854971817664
S1_20200904_ALL_F1 2020247.5099224614 2437 85.757300016817 7.123162131512
S1_20200916_ALL_F1 2020259.5099273827 2449 66.873820099372 3.266307685229
S1_20200928_ALL_F1 2020271.5099317189 2461 22.422289195917 -46.949354090691
S1_20210102_ALL_F1 2021001.5099084582 2556 -10.651808656679 -22.614918917524
S1_20210114_ALL_F1 2021013.5099019469 2568 15.747223744237 8.134882720981
S1_20210126_ALL_F1 2021025.5098973920 2580 32.902901354239 28.192279629962
S1_20210502_ALL_F1 2021121.5099063932 2676 87.462775867073 44.893262778831
S1_20210514_ALL_F1 2021133.5099144932 2688 47.863658708517 -12.912037047068
S1_20210526_ALL_F1 2021145.5099226353 2700 54.952061685269 -23.623674120097
S1_20210911_ALL_F1 2021253.5099927138 2808 33.982250999049 -60.700837922595
S1_20210923_ALL_F1 2021265.5099971811 2820 70.743349679527 6.763540794281
S1_20220109_ALL_F1 2022008.5099699877 2928 -36.717581784784 -67.193811164876
S1_20220121_ALL_F1 2022020.5099616207 2940 36.879553151777 38.742822928652
S1_20220509_ALL_F1 2022128.5099763926 3048 47.496178044892 -24.025686994182
S1_20220521_ALL_F1 2022140.5099854611 3060 62.400955863099 -8.848387546234
S1_20220906_ALL_F1 2022248.5100655963 3168 -101.478320283129 -245.819706165947
S1_20220918_ALL_F1 2022260.5100624927 3180 61.780402101280 -17.667641129395
S1_20220930_ALL_F1 2022272.5100701784 3192 -18.262104030112 -107.300304885914
S1_20230104_ALL_F1 2023003.5100381835 3288 59.890276591850 69.276995839622
S1_20230116_ALL_F1 2023015.5100297488 3300 87.254606659559 104.839030697146
S1_20230128_ALL_F1 2023027.5100306727 3312 -44.728594993536 -97.749254183585
S1_20230209_ALL_F1 2023039.5100188407 3324 64.315213044386 107.139340919239
S1_20230221_ALL_F1 2023051.5100168579 3336 77.143609449927 84.938001731774
S1_20230305_ALL_F1 2023063.5100224356 3348 -34.958153810552 -83.102201484666
S1_20230317_ALL_F1 2023075.5100180879 3360 72.906605727408 95.779404956852
