* Site   Longitude  Latitude   Ve   dVe    Vn   dVn   Cen      Vu  dVu  (mm/yr)
AR53_CGP -117.4765   33.3811 -26.29 0.10  26.46 0.10  0.000  -0.90 0.30
AZU1_CGP -117.8965   34.1260 -24.28 0.10  21.38 0.10  0.000  -0.90 0.10
CAT2_CGP -118.3338   33.3116 -28.69 0.10  31.11 0.10  0.000  -0.90 0.10
SBCC_CGP -117.6615   33.5530 -26.27 0.10  27.11 0.10  0.000  -0.90 0.10
SOMT_CGP -119.0643   34.3199 -27.15 0.10  28.12 0.10  0.000  -0.90 0.10
TWMS_CGP -117.7255   33.9725 -23.59 0.10  23.13 0.10  0.000  -0.90 0.20
VTOR_CGP -117.1932   33.2250 -26.80 0.10  26.18 0.10  0.000  -0.90 0.20
BAR1_CGP -119.0297   33.4805 -29.52 0.10  32.51 0.10  0.000  -0.80 0.10
OEOC_CGP -117.7441   33.7659 -26.24 0.10  26.44 0.10  0.000  -0.80 0.10
P066_CGP -116.1698   32.6165 -27.24 0.10  26.68 0.10  0.000  -0.80 0.10
P473_CGP -116.9495   32.7338 -27.58 0.10  27.21 0.10  0.000  -0.80 0.10
P505_CGP -115.6870   33.4239  -5.33 0.10   2.93 0.10  0.000  -0.80 0.10
P623_CGP -114.5994   34.1889  -2.47 0.10   0.61 0.10  0.000  -0.80 0.10
POTR_CGP -116.5909   32.6184 -27.48 0.10  26.90 0.10  0.000  -0.80 0.10
RMVJ_CGP -117.5553   33.4858 -26.58 0.10  26.78 0.10  0.000  -0.80 0.20
SPMS_CGP -117.8488   33.9927 -24.70 0.10  23.47 0.10  0.000  -0.80 0.10
CSST_CGP -119.3712   34.4081 -28.76 0.10  25.80 0.10  0.000  -0.70 0.10
DHLG_CGP -115.7880   33.3898 -11.74 0.10   8.36 0.10  0.000  -0.70 0.10
HVYS_CGP -119.1875   34.4412 -27.54 0.10  23.65 0.10  0.000  -0.70 0.10
MJPK_CGP -117.5505   33.7145 -25.53 0.10  25.88 0.10  0.000  -0.70 0.10
MVFD_CGP -116.5253   33.2109 -24.54 0.10  23.78 0.10  0.000  -0.70 0.10
P494_CGP -115.7321   32.7597 -23.07 0.10  25.55 0.10  0.000  -0.70 0.20
P625_CGP -114.9651   34.8444  -2.86 0.10   0.42 0.10  0.000  -0.70 0.10
RAMT_CGP -117.6833   35.3387  -7.50 0.10  11.02 0.10  0.000  -0.70 0.10
SIO5_CGP -117.2497   32.8407 -27.49 0.10  27.89 0.10  0.000  -0.70 0.10
THMS_CGP -117.7668   33.5496 -27.18 0.10  27.34 0.10  0.000  -0.70 0.30
