* Site   Longitude  Latitude   Ve   dVe    Vn   dVn   Cen      Vu  dVu  (mm/yr)
P544_CGP -119.7380   35.7313 -10.63 0.10  11.31 0.10  0.000  -4.70 0.20
VNCO_CGP -119.2377   34.2758 -29.37 0.20  27.76 0.10  0.000  -4.60 0.20
P477_CGP -117.1134   33.5028 -24.43 0.10  25.25 0.10  0.000  -4.40 0.10
WHC1_CGP -118.0312   33.9799 -26.02 0.10  24.82 0.10  0.000  -4.00 0.10
MHMS_CGP -118.2441   33.9391 -26.15 0.30  25.98 0.20  0.000  -3.70 0.30
HOLP_CGP -118.1682   33.9245 -26.94 0.10  25.36 0.10  0.000  -3.50 0.20
HARV_CGP -120.6821   34.4694 -31.08 0.20  34.37 0.30  0.000  -3.30 0.30
P506_CGP -115.5102   33.0814  -4.78 0.10   3.58 0.10  0.000  -3.30 0.20
BGIS_CGP -118.1597   33.9671 -26.93 0.10  25.16 0.10  0.000  -3.20 0.20
P486_CGP -116.3223   33.2602 -22.72 0.10  21.62 0.10  0.000  -3.20 0.20
ELSC_CGP -118.2084   34.0297 -25.93 0.10  23.47 0.10  0.000  -2.90 0.20
TOST_CGP -118.8367   34.2480 -26.94 0.10  29.25 0.10  0.000  -2.60 0.20
LPHS_CGP -117.9567   34.0268 -26.50 0.10  24.10 0.20  0.000  -2.50 0.20
P509_CGP -115.2939   32.8907  -2.11 0.10   3.42 0.10  0.000  -2.30 0.10
ELLY_CGP -118.1288   33.5835 -28.31 0.60  28.45 0.20  0.000  -2.20 0.40
WNRA_CGP -118.0593   34.0432 -25.31 0.10  24.03 0.10  0.000  -2.20 0.30
PLO3_CGP -117.2430   32.6654 -28.53 0.30  28.49 0.30  0.000  -2.10 0.40
USC1_CGP -118.2851   34.0239 -25.53 0.10  25.69 0.10  0.000  -2.10 0.20
IID2_CGP -115.0318   32.7062  -3.23 0.10   2.14 0.10  0.000  -2.00 0.10
